scheme_code,scheme_name,amc,category,total_aum_cr,reference_plan,reference_plan_name,nav,launch_date,return_1y,return_3y,return_5y,return_10y,beta,sharpe,alpha,consistency,sharpe_pct,alpha_pct,consistency_pct,composite_score,category_rank
129312,ICICI Prudential Dividend Yield Equity Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Dividend Yield Fund,6359.38,direct,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,58.83,2014-04-25,0.0195840554592721,0.199942891718533,0.195905197957513,0.1677192140706944,0.9120989367592254,0.9877685229824764,0.1049462843038559,0.6238532110091743,1.0,1.0,0.6666666666666666,0.8888888888888888,1
120749,UTI - Dividend Yield Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Dividend Yield Fund,3825.33,direct,UTI-Dividend Yield Fund.-Growth-Direct,186.9916,2005-04-11,-0.0062999164085321,0.1695809094255804,0.1350623456419779,0.1453206489317771,0.8885954399592411,0.7837166555431245,0.0790850670566882,0.365079365079365,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5555555555555556,2
118527,Franklin India Dividend Yield Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Dividend Yield Fund,2354.64,direct,Franklin India Dividend Yield Fund - Direct - Growth,148.8035,2006-03-22,-0.0118397146090216,0.1478139685986186,0.1423124033610483,0.1572500155823799,0.8415085453312087,0.6304352389815056,0.0593992139198176,0.7698412698412699,0.3333333333333333,0.3333333333333333,1.0,0.5555555555555556,2
133386,Motilal Oswal ELSS Tax Saver Fund,Motilal Oswal Asset Management Company Limited,Equity Scheme - ELSS,4186.24,direct,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,62.3791,2014-12-26,0.059712015112751,0.2378012815762076,0.1883617478718688,0.183944999589916,1.0493392102739794,0.8838524730254183,0.1438169943300727,0.6666666666666666,1.0,1.0,0.7692307692307693,0.923076923076923,1
119723,SBI ELSS Tax Saver Fund,SBI Funds Management Limited,Equity Scheme - ELSS,31433.94,direct,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,462.203,1993-02-24,-0.0176187718188919,0.1864366619688844,0.1679095656246751,0.1511323711794003,0.9235576514546284,0.8725557651931383,0.0936469638846676,0.3809523809523809,0.9230769230769231,0.9230769230769231,0.23076923076923078,0.6923076923076923,2
118803,Nippon India ELSS Tax Saver Fund,Nippon Life India Asset Management Limited,Equity Scheme - ELSS,14749.77,direct,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,141.3883,2005-07-25,0.0135725294813433,0.1600687316661408,0.1428370427190723,0.1187348200161146,1.0134706820510044,0.6471861819725195,0.0701730281222456,0.4206349206349206,0.7692307692307693,0.8461538461538461,0.38461538461538464,0.6666666666666666,3
132756,Tata ELSS Fund,Tata Asset Management Limited,Equity Scheme - ELSS,4551.26,direct,Tata ELSS Fund-Growth-Direct Plan,51.8373,1996-03-31,0.0304315156719623,0.1505118029630523,0.1383135105561246,0.1494743821471653,1.0130762812768186,0.5885691283459993,0.0615959159193491,0.5428571428571428,0.6923076923076923,0.6923076923076923,0.6153846153846154,0.6666666666666666,3
119060,HDFC ELSS Tax saver,HDFC Asset Management Company Limited,Equity Scheme - ELSS,16426.36,direct,HDFC ELSS Tax saver - Growth Option - Direct Plan,1446.198,1996-03-31,-0.0384724576031721,0.1602512792147401,0.1654909398861168,0.1423861130274024,0.8949696221780232,0.7368887660929515,0.0701515621055814,0.3888888888888889,0.8461538461538461,0.7692307692307693,0.3076923076923077,0.641025641025641,5
118540,Franklin India ELSS Tax Saver Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - ELSS,6348.4,direct,Franklin India ELSS Tax Saver Fund - Direct - Growth,1555.4426,1994-04-10,-0.0549438437906394,0.1444423433838524,0.1314298448545405,0.1330431020254878,0.97074016749881,0.5824722106935115,0.0556904888158897,0.5,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.5897435897435896,6
147481,Parag Parikh ELSS Tax Saver Fund,PPFAS Asset Management Pvt. Ltd.,Equity Scheme - ELSS,5712.28,direct,Parag Parikh ELSS Tax Saver Fund- Direct Growth,31.368,2019-07-04,-0.0816066613380646,0.1231177449687723,0.1391086030459658,,0.7744686561275396,0.5005233112129803,0.0379567438048731,0.7916666666666666,0.38461538461538464,0.15384615384615385,1.0,0.5128205128205128,7
